Data;Województwo;Przypadki narastająco
28.03.2020;Małopolskie;112
28.03.2020;Mazowieckie;421
28.03.2020;Opolskie;31
28.03.2020;Podkarpackie;71
28.03.2020;Podlaskie;26
28.03.2020;Pomorskie;36
28.03.2020;Śląskie;165
28.03.2020;Świętokrzyskie;27
28.03.2020;Warmińsko-mazurskie;46
28.03.2020;Wielkopolskie;99
28.03.2020;Zachodniopomorskie;51
29.03.2020;Dolnośląskie;234
29.03.2020;Kujawsko-pomorskie;47
29.03.2020;Lubelskie;105
29.03.2020;Lubuskie;33
29.03.2020;Łódzkie;190
29.03.2020;Małopolskie;150
29.03.2020;Mazowieckie;461
29.03.2020;Opolskie;43
29.03.2020;Podkarpackie;76
29.03.2020;Podlaskie;28
29.03.2020;Pomorskie;45
29.03.2020;Śląskie;195
29.03.2020;Świętokrzyskie;34
29.03.2020;Warmińsko-mazurskie;56
29.03.2020;Wielkopolskie;108
29.03.2020;Zachodniopomorskie;57
30.03.2020;Dolnośląskie;258
30.03.2020;Kujawsko-pomorskie;72
30.03.2020;Lubelskie;114
30.03.2020;Lubuskie;36
30.03.2020;Łódzkie;202
30.03.2020;Małopolskie;174
30.03.2020;Mazowieckie;487
30.03.2020;Opolskie;54
30.03.2020;Podkarpackie;80
30.03.2020;Podlaskie;36
30.03.2020;Pomorskie;48
30.03.2020;Śląskie;209
30.03.2020;Świętokrzyskie;37
30.03.2020;Warmińsko-mazurskie;57
30.03.2020;Wielkopolskie;132
30.03.2020;Zachodniopomorskie;59
31.03.2020;Dolnośląskie;274
31.03.2020;Kujawsko-pomorskie;76
31.03.2020;Lubelskie;132
31.03.2020;Lubuskie;42
31.03.2020;Łódzkie;208
31.03.2020;Małopolskie;192
31.03.2020;Mazowieckie;544
31.03.2020;Opolskie;70
31.03.2020;Podkarpackie;95
31.03.2020;Podlaskie;36
31.03.2020;Pomorskie;54
31.03.2020;Śląskie;264
31.03.2020;Świętokrzyskie;49
31.03.2020;Warmińsko-mazurskie;58
31.03.2020;Wielkopolskie;148
31.03.2020;Zachodniopomorskie;69
01.04.2020;Dolnośląskie;326
01.04.2020;Kujawsko-pomorskie;84
01.04.2020;Lubelskie;133
01.04.2020;Lubuskie;47
01.04.2020;Łódzkie;221
01.04.2020;Małopolskie;209
01.04.2020;Mazowieckie;612
01.04.2020;Opolskie;75
01.04.2020;Podkarpackie;104
01.04.2020;Podlaskie;47
01.04.2020;Pomorskie;60
01.04.2020;Śląskie;272
01.04.2020;Świętokrzyskie;55
01.04.2020;Warmińsko-mazurskie;61
01.04.2020;Wielkopolskie;169
01.04.2020;Zachodniopomorskie;79
02.04.2020;Dolnośląskie;338
02.04.2020;Kujawsko-pomorskie;157
02.04.2020;Lubelskie;151
02.04.2020;Lubuskie;48
02.04.2020;Łódzkie;236
02.04.2020;Małopolskie;230
02.04.2020;Mazowieckie;754
02.04.2020;Opolskie;78
02.04.2020;Podkarpackie;111
02.04.2020;Podlaskie;59
02.04.2020;Pomorskie;70
02.04.2020;Śląskie;301
02.04.2020;Świętokrzyskie;62
02.04.2020;Warmińsko-mazurskie;67
02.04.2020;Wielkopolskie;195
02.04.2020;Zachodniopomorskie;89
03.04.2020;Dolnośląskie;400
03.04.2020;Kujawsko-pomorskie;199
03.04.2020;Lubelskie;158
03.04.2020;Lubuskie;50
03.04.2020;Łódzkie;248
03.04.2020;Małopolskie;262
03.04.2020;Mazowieckie;808
03.04.2020;Opolskie;90
03.04.2020;Podkarpackie;125
03.04.2020;Podlaskie;74
03.04.2020;Pomorskie;82
03.04.2020;Śląskie;431
03.04.2020;Świętokrzyskie;79
03.04.2020;Warmińsko-mazurskie;75
03.04.2020;Wielkopolskie;213
03.04.2020;Zachodniopomorskie;89
04.04.2020;Dolnośląskie;407
04.04.2020;Kujawsko-pomorskie;224
04.04.2020;Lubelskie;165
04.04.2020;Lubuskie;56
04.04.2020;Łódzkie;259
04.04.2020;Małopolskie;308
04.04.2020;Mazowieckie;808
04.04.2020;Opolskie;90
04.04.2020;Podkarpackie;136
04.04.2020;Podlaskie;82
04.04.2020;Pomorskie;104
04.04.2020;Śląskie;496
04.04.2020;Świętokrzyskie;81
04.04.2020;Warmińsko-mazurskie;78
04.04.2020;Wielkopolskie;233
04.04.2020;Zachodniopomorskie;100
05.04.2020;Dolnośląskie;468
05.04.2020;Kujawsko-pomorskie;241
05.04.2020;Lubelskie;174
05.04.2020;Lubuskie;59
05.04.2020;Łódzkie;326
05.04.2020;Małopolskie;327
05.04.2020;Mazowieckie;967
05.04.2020;Opolskie;94
05.04.2020;Podkarpackie;149
05.04.2020;Podlaskie;91
05.04.2020;Pomorskie;117
05.04.2020;Śląskie;537
05.04.2020;Świętokrzyskie;93
05.04.2020;Warmińsko-mazurskie;80
05.04.2020;Wielkopolskie;273
05.04.2020;Zachodniopomorskie;106
06.04.2020;Dolnośląskie;488
06.04.2020;Kujawsko-pomorskie;245
06.04.2020;Lubelskie;181
06.04.2020;Lubuskie;62
06.04.2020;Łódzkie;340
06.04.2020;Małopolskie;349
06.04.2020;Mazowieckie;1065
06.04.2020;Opolskie;101
06.04.2020;Podkarpackie;156
06.04.2020;Podlaskie;109
06.04.2020;Pomorskie;125
06.04.2020;Śląskie;562
06.04.2020;Świętokrzyskie;103
06.04.2020;Warmińsko-mazurskie;83
06.04.2020;Wielkopolskie;327
06.04.2020;Zachodniopomorskie;117
07.04.2020;Dolnośląskie;527
07.04.2020;Kujawsko-pomorskie;264
07.04.2020;Lubelskie;192
07.04.2020;Lubuskie;62
07.04.2020;Łódzkie;358
07.04.2020;Małopolskie;371
07.04.2020;Mazowieckie;1247
07.04.2020;Opolskie;107
07.04.2020;Podkarpackie;168
07.04.2020;Podlaskie;127
07.04.2020;Pomorskie;135
07.04.2020;Śląskie;601
07.04.2020;Świętokrzyskie;120
07.04.2020;Warmińsko-mazurskie;87
07.04.2020;Wielkopolskie;349
07.04.2020;Zachodniopomorskie;133
08.04.2020;Dolnośląskie;539
08.04.2020;Kujawsko-pomorskie;277
08.04.2020;Lubelskie;200
08.04.2020;Lubuskie;66
08.04.2020;Łódzkie;400
08.04.2020;Małopolskie;398
08.04.2020;Mazowieckie;1314
08.04.2020;Opolskie;116
08.04.2020;Podkarpackie;180
08.04.2020;Podlaskie;149
08.04.2020;Pomorskie;143
08.04.2020;Śląskie;644
08.04.2020;Świętokrzyskie;127
08.04.2020;Warmińsko-mazurskie;92
08.04.2020;Wielkopolskie;394
08.04.2020;Zachodniopomorskie;165
09.04.2020;Dolnośląskie;568
09.04.2020;Kujawsko-pomorskie;280
09.04.2020;Lubelskie;205
09.04.2020;Lubuskie;69
09.04.2020;Łódzkie;432
09.04.2020;Małopolskie;432
09.04.2020;Mazowieckie;1424
09.04.2020;Opolskie;125
09.04.2020;Podkarpackie;194
09.04.2020;Podlaskie;168
09.04.2020;Pomorskie;153
09.04.2020;Śląskie;695
09.04.2020;Świętokrzyskie;129
09.04.2020;Warmińsko-mazurskie;95
09.04.2020;Wielkopolskie;431
09.04.2020;Zachodniopomorskie;174
10.04.2020;Dolnośląskie;637
10.04.2020;Kujawsko-pomorskie;290
10.04.2020;Lubelskie;222
10.04.2020;Lubuskie;74
10.04.2020;Łódzkie;463
10.04.2020;Małopolskie;452
10.04.2020;Mazowieckie;1501
10.04.2020;Opolskie;130
10.04.2020;Podkarpackie;209
10.04.2020;Podlaskie;189
10.04.2020;Pomorskie;157
10.04.2020;Śląskie;729
10.04.2020;Świętokrzyskie;130
10.04.2020;Warmińsko-mazurskie;110
10.04.2020;Wielkopolskie;477
10.04.2020;Zachodniopomorskie;184
11.04.2020;Dolnośląskie;660
11.04.2020;Kujawsko-pomorskie;313
11.04.2020;Lubelskie;225
11.04.2020;Lubuskie;76
11.04.2020;Łódzkie;492
11.04.2020;Małopolskie;485
11.04.2020;Mazowieckie;1629
11.04.2020;Opolskie;143
11.04.2020;Podkarpackie;220
11.04.2020;Podlaskie;195
11.04.2020;Pomorskie;163
11.04.2020;Śląskie;781
11.04.2020;Świętokrzyskie;136
11.04.2020;Warmińsko-mazurskie;111
11.04.2020;Wielkopolskie;535
11.04.2020;Zachodniopomorskie;191
12.04.2020;Dolnośląskie;697
12.04.2020;Kujawsko-pomorskie;336
12.04.2020;Lubelskie;234
12.04.2020;Lubuskie;78
12.04.2020;Łódzkie;529
12.04.2020;Małopolskie;504
12.04.2020;Mazowieckie;1664
12.04.2020;Opolskie;151
12.04.2020;Podkarpackie;221
12.04.2020;Podlaskie;222
12.04.2020;Pomorskie;171
12.04.2020;Śląskie;846
12.04.2020;Świętokrzyskie;141
12.04.2020;Warmińsko-mazurskie;122
12.04.2020;Wielkopolskie;564
12.04.2020;Zachodniopomorskie;193
13.04.2020;Dolnośląskie;709
13.04.2020;Kujawsko-pomorskie;345
13.04.2020;Lubelskie;240
13.04.2020;Lubuskie;78
13.04.2020;Łódzkie;551
13.04.2020;Małopolskie;518
13.04.2020;Mazowieckie;1688
13.04.2020;Opolskie;171
13.04.2020;Podkarpackie;225
13.04.2020;Podlaskie;238
13.04.2020;Pomorskie;175
13.04.2020;Śląskie;879
13.04.2020;Świętokrzyskie;141
13.04.2020;Warmińsko-mazurskie;122
13.04.2020;Wielkopolskie;650
13.04.2020;Zachodniopomorskie;203
14.04.2020;Dolnośląskie;723
14.04.2020;Kujawsko-pomorskie;352
14.04.2020;Lubelskie;245
14.04.2020;Lubuskie;79
14.04.2020;Łódzkie;567
14.04.2020;Małopolskie;537
14.04.2020;Mazowieckie;1715
14.04.2020;Opolskie;206
14.04.2020;Podkarpackie;234
14.04.2020;Podlaskie;256
14.04.2020;Pomorskie;175
14.04.2020;Śląskie;943
14.04.2020;Świętokrzyskie;154
14.04.2020;Warmińsko-mazurskie;122
14.04.2020;Wielkopolskie;683
14.04.2020;Zachodniopomorskie;211
15.04.2020;Dolnośląskie;764
15.04.2020;Kujawsko-pomorskie;359
15.04.2020;Lubelskie;270
15.04.2020;Lubuskie;79
15.04.2020;Łódzkie;572
15.04.2020;Małopolskie;561
15.04.2020;Mazowieckie;1792
15.04.2020;Opolskie;219
15.04.2020;Podkarpackie;243
15.04.2020;Podlaskie;259
15.04.2020;Pomorskie;179
15.04.2020;Śląskie;988
15.04.2020;Świętokrzyskie;170
15.04.2020;Warmińsko-mazurskie;125
15.04.2020;Wielkopolskie;785
15.04.2020;Zachodniopomorskie;217
16.04.2020;Dolnośląskie;819
16.04.2020;Kujawsko-pomorskie;367
16.04.2020;Lubelskie;279
16.04.2020;Lubuskie;81
16.04.2020;Łódzkie;590
16.04.2020;Małopolskie;575
16.04.2020;Mazowieckie;1846
16.04.2020;Opolskie;230
16.04.2020;Podkarpackie;246
16.04.2020;Podlaskie;278
16.04.2020;Pomorskie;181
16.04.2020;Śląskie;1070
16.04.2020;Świętokrzyskie;175
16.04.2020;Warmińsko-mazurskie;129
16.04.2020;Wielkopolskie;829
16.04.2020;Zachodniopomorskie;223
17.04.2020;Dolnośląskie;893
17.04.2020;Kujawsko-pomorskie;387
17.04.2020;Lubelskie;290
17.04.2020;Lubuskie;81
17.04.2020;Łódzkie;607
17.04.2020;Małopolskie;596
17.04.2020;Mazowieckie;1883
17.04.2020;Opolskie;254
17.04.2020;Podkarpackie;251
17.04.2020;Podlaskie;291
17.04.2020;Pomorskie;185
17.04.2020;Śląskie;1219
17.04.2020;Świętokrzyskie;193
17.04.2020;Warmińsko-mazurskie;139
17.04.2020;Wielkopolskie;880
17.04.2020;Zachodniopomorskie;230
18.04.2020;Dolnośląskie;949
18.04.2020;Kujawsko-pomorskie;398
18.04.2020;Lubelskie;293
18.04.2020;Lubuskie;81
18.04.2020;Łódzkie;640
18.04.2020;Małopolskie;630
18.04.2020;Mazowieckie;1936
18.04.2020;Opolskie;271
18.04.2020;Podkarpackie;259
18.04.2020;Podlaskie;316
18.04.2020;Pomorskie;207
18.04.2020;Śląskie;1273
18.04.2020;Świętokrzyskie;203
18.04.2020;Warmińsko-mazurskie;139
18.04.2020;Wielkopolskie;898
18.04.2020;Zachodniopomorskie;249
19.04.2020;Dolnośląskie;1044
19.04.2020;Kujawsko-pomorskie;406
19.04.2020;Lubelskie;308
19.04.2020;Lubuskie;81
19.04.2020;Łódzkie;660
19.04.2020;Małopolskie;646
19.04.2020;Mazowieckie;1992
19.04.2020;Opolskie;276
19.04.2020;Podkarpackie;263
19.04.2020;Podlaskie;321
19.04.2020;Pomorskie;209
19.04.2020;Śląskie;1443
19.04.2020;Świętokrzyskie;210
19.04.2020;Warmińsko-mazurskie;142
19.04.2020;Wielkopolskie;1020
19.04.2020;Zachodniopomorskie;266
20.04.2020;Dolnośląskie;1077
20.04.2020;Kujawsko-pomorskie;421
20.04.2020;Lubelskie;311
20.04.2020;Lubuskie;82
20.04.2020;Łódzkie;682
20.04.2020;Małopolskie;679
20.04.2020;Mazowieckie;2030
20.04.2020;Opolskie;292
20.04.2020;Podkarpackie;266
20.04.2020;Podlaskie;327
20.04.2020;Pomorskie;215
20.04.2020;Śląskie;1514
20.04.2020;Świętokrzyskie;227
20.04.2020;Warmińsko-mazurskie;143
20.04.2020;Wielkopolskie;1050
20.04.2020;Zachodniopomorskie;277
21.04.2020;Dolnośląskie;1118
21.04.2020;Kujawsko-pomorskie;438
21.04.2020;Lubelskie;325
21.04.2020;Lubuskie;84
21.04.2020;Łódzkie;695
21.04.2020;Małopolskie;707
21.04.2020;Mazowieckie;2059
21.04.2020;Opolskie;298
21.04.2020;Podkarpackie;270
21.04.2020;Podlaskie;332
21.04.2020;Pomorskie;219
21.04.2020;Śląskie;1568
21.04.2020;Świętokrzyskie;238
21.04.2020;Warmińsko-mazurskie;145
21.04.2020;Wielkopolskie;1081
21.04.2020;Zachodniopomorskie;279
22.04.2020;Dolnośląskie;1144
22.04.2020;Kujawsko-pomorskie;452
22.04.2020;Lubelskie;332
22.04.2020;Lubuskie;85
22.04.2020;Łódzkie;765
22.04.2020;Małopolskie;734
22.04.2020;Mazowieckie;2098
22.04.2020;Opolskie;324
22.04.2020;Podkarpackie;276
22.04.2020;Podlaskie;335
22.04.2020;Pomorskie;231
22.04.2020;Śląskie;1614
22.04.2020;Świętokrzyskie;247
22.04.2020;Warmińsko-mazurskie;145
22.04.2020;Wielkopolskie;1099
22.04.2020;Zachodniopomorskie;288
23.04.2020;Dolnośląskie;1212
23.04.2020;Kujawsko-pomorskie;460
23.04.2020;Lubelskie;336
23.04.2020;Lubuskie;85
23.04.2020;Łódzkie;781
23.04.2020;Małopolskie;766
23.04.2020;Mazowieckie;2166
23.04.2020;Opolskie;330
23.04.2020;Podkarpackie;279
23.04.2020;Podlaskie;341
23.04.2020;Pomorskie;243
23.04.2020;Śląskie;1649
23.04.2020;Świętokrzyskie;248
23.04.2020;Warmińsko-mazurskie;145
23.04.2020;Wielkopolskie;1166
23.04.2020;Zachodniopomorskie;304
24.04.2020;Dolnośląskie;1235
24.04.2020;Kujawsko-pomorskie;471
24.04.2020;Lubelskie;342
24.04.2020;Lubuskie;85
24.04.2020;Łódzkie;813
24.04.2020;Małopolskie;788
24.04.2020;Mazowieckie;2206
24.04.2020;Opolskie;345
24.04.2020;Podkarpackie;288
24.04.2020;Podlaskie;344
24.04.2020;Pomorskie;257
24.04.2020;Śląskie;1746
24.04.2020;Świętokrzyskie;254
24.04.2020;Warmińsko-mazurskie;146
24.04.2020;Wielkopolskie;1236
24.04.2020;Zachodniopomorskie;336
25.04.2020;Dolnośląskie;1278
25.04.2020;Kujawsko-pomorskie;474
25.04.2020;Lubelskie;346
25.04.2020;Lubuskie;85
25.04.2020;Łódzkie;836
25.04.2020;Małopolskie;812
25.04.2020;Mazowieckie;2302
25.04.2020;Opolskie;352
25.04.2020;Podkarpackie;311
25.04.2020;Podlaskie;358
25.04.2020;Pomorskie;296
25.04.2020;Śląskie;1813
25.04.2020;Świętokrzyskie;255
25.04.2020;Warmińsko-mazurskie;146
25.04.2020;Wielkopolskie;1266
25.04.2020;Zachodniopomorskie;343
26.04.2020;Dolnośląskie;1341
26.04.2020;Kujawsko-pomorskie;478
26.04.2020;Lubelskie;351
26.04.2020;Lubuskie;87
26.04.2020;Łódzkie;855
26.04.2020;Małopolskie;821
26.04.2020;Mazowieckie;2348
26.04.2020;Opolskie;363
26.04.2020;Podkarpackie;313
26.04.2020;Podlaskie;361
26.04.2020;Pomorskie;346
26.04.2020;Śląskie;1887
26.04.2020;Świętokrzyskie;258
26.04.2020;Warmińsko-mazurskie;146
26.04.2020;Wielkopolskie;1307
26.04.2020;Zachodniopomorskie;355
27.04.2020;Dolnośląskie;1412
27.04.2020;Kujawsko-pomorskie;483
27.04.2020;Lubelskie;353
27.04.2020;Lubuskie;87
27.04.2020;Łódzkie;890
27.04.2020;Małopolskie;841
27.04.2020;Mazowieckie;2376
27.04.2020;Opolskie;373
27.04.2020;Podkarpackie;316
27.04.2020;Podlaskie;365
27.04.2020;Pomorskie;357
27.04.2020;Śląskie;1929
27.04.2020;Świętokrzyskie;261
27.04.2020;Warmińsko-mazurskie;146
27.04.2020;Wielkopolskie;1343
27.04.2020;Zachodniopomorskie;370
28.04.2020;Dolnośląskie;1461
28.04.2020;Kujawsko-pomorskie;518
28.04.2020;Lubelskie;356
28.04.2020;Lubuskie;87
28.04.2020;Łódzkie;904
28.04.2020;Małopolskie;852
28.04.2020;Mazowieckie;2391
28.04.2020;Opolskie;378
28.04.2020;Podkarpackie;325
28.04.2020;Podlaskie;367
28.04.2020;Pomorskie;394
28.04.2020;Śląskie;2023
28.04.2020;Świętokrzyskie;264
28.04.2020;Warmińsko-mazurskie;146
28.04.2020;Wielkopolskie;1376
28.04.2020;Zachodniopomorskie;376
29.04.2020;Dolnośląskie;1520
29.04.2020;Kujawsko-pomorskie;537
29.04.2020;Lubelskie;359
29.04.2020;Lubuskie;87
29.04.2020;Łódzkie;936
29.04.2020;Małopolskie;876
29.04.2020;Mazowieckie;2427
29.04.2020;Opolskie;390
29.04.2020;Podkarpackie;328
29.04.2020;Podlaskie;367
29.04.2020;Pomorskie;424
29.04.2020;Śląskie;2182
29.04.2020;Świętokrzyskie;266
29.04.2020;Warmińsko-mazurskie;146
29.04.2020;Wielkopolskie;1415
29.04.2020;Zachodniopomorskie;380
30.04.2020;Dolnośląskie;1563
30.04.2020;Kujawsko-pomorskie;544
30.04.2020;Lubelskie;360
30.04.2020;Lubuskie;87
30.04.2020;Łódzkie;954
30.04.2020;Małopolskie;897
30.04.2020;Mazowieckie;2452
30.04.2020;Opolskie;394
30.04.2020;Podkarpackie;329
30.04.2020;Podlaskie;375
30.04.2020;Pomorskie;428
30.04.2020;Śląskie;2239
30.04.2020;Świętokrzyskie;270
30.04.2020;Warmińsko-mazurskie;148
30.04.2020;Wielkopolskie;1441
30.04.2020;Zachodniopomorskie;396
01.05.2020;Dolnośląskie;1580
01.05.2020;Kujawsko-pomorskie;550
01.05.2020;Lubelskie;365
01.05.2020;Lubuskie;87
01.05.2020;Łódzkie;972
01.05.2020;Małopolskie;913
01.05.2020;Mazowieckie;2452
01.05.2020;Opolskie;398
01.05.2020;Podkarpackie;337
01.05.2020;Podlaskie;375
01.05.2020;Pomorskie;434
01.05.2020;Śląskie;2380
01.05.2020;Świętokrzyskie;270
01.05.2020;Warmińsko-mazurskie;148
01.05.2020;Wielkopolskie;1443
01.05.2020;Zachodniopomorskie;401
02.05.2020;Dolnośląskie;1620
02.05.2020;Kujawsko-pomorskie;554
02.05.2020;Lubelskie;367
02.05.2020;Lubuskie;87
02.05.2020;Łódzkie;1006
02.05.2020;Małopolskie;934
02.05.2020;Mazowieckie;2477
02.05.2020;Opolskie;407
02.05.2020;Podkarpackie;341
02.05.2020;Podlaskie;377
02.05.2020;Pomorskie;440
02.05.2020;Śląskie;2446
02.05.2020;Świętokrzyskie;271
02.05.2020;Warmińsko-mazurskie;148
02.05.2020;Wielkopolskie;1494
02.05.2020;Zachodniopomorskie;406
03.05.2020;Dolnośląskie;1645
03.05.2020;Kujawsko-pomorskie;557
03.05.2020;Lubelskie;374
03.05.2020;Lubuskie;88
03.05.2020;Łódzkie;1049
03.05.2020;Małopolskie;944
03.05.2020;Mazowieckie;2508
03.05.2020;Opolskie;422
03.05.2020;Podkarpackie;350
03.05.2020;Podlaskie;378
03.05.2020;Pomorskie;444
03.05.2020;Śląskie;2576
03.05.2020;Świętokrzyskie;278
03.05.2020;Warmińsko-mazurskie;148
03.05.2020;Wielkopolskie;1518
03.05.2020;Zachodniopomorskie;414
04.05.2020;Dolnośląskie;1723
04.05.2020;Kujawsko-pomorskie;557
04.05.2020;Lubelskie;374
04.05.2020;Lubuskie;90
04.05.2020;Łódzkie;1068
04.05.2020;Małopolskie;976
04.05.2020;Mazowieckie;2553
04.05.2020;Opolskie;435
04.05.2020;Podkarpackie;363
04.05.2020;Podlaskie;378
04.05.2020;Pomorskie;444
04.05.2020;Śląskie;2656
04.05.2020;Świętokrzyskie;282
04.05.2020;Warmińsko-mazurskie;150
04.05.2020;Wielkopolskie;1529
04.05.2020;Zachodniopomorskie;428
05.05.2020;Dolnośląskie;1769
05.05.2020;Kujawsko-pomorskie;561
05.05.2020;Lubelskie;376
05.05.2020;Lubuskie;90
05.05.2020;Łódzkie;1088
05.05.2020;Małopolskie;997
05.05.2020;Mazowieckie;2631
05.05.2020;Opolskie;440
05.05.2020;Podkarpackie;366
05.05.2020;Podlaskie;379
05.05.2020;Pomorskie;451
05.05.2020;Śląskie;2790
05.05.2020;Świętokrzyskie;300
05.05.2020;Warmińsko-mazurskie;154
05.05.2020;Wielkopolskie;1598
05.05.2020;Zachodniopomorskie;441
06.05.2020;Dolnośląskie;1789
06.05.2020;Kujawsko-pomorskie;561
06.05.2020;Lubelskie;380
06.05.2020;Lubuskie;90
06.05.2020;Łódzkie;1115
06.05.2020;Małopolskie;1009
06.05.2020;Mazowieckie;2673
06.05.2020;Opolskie;450
06.05.2020;Podkarpackie;366
06.05.2020;Podlaskie;380
06.05.2020;Pomorskie;460
06.05.2020;Śląskie;2947
06.05.2020;Świętokrzyskie;300
06.05.2020;Warmińsko-mazurskie;152
06.05.2020;Wielkopolskie;1616
06.05.2020;Zachodniopomorskie;452
07.05.2020;Dolnośląskie;1825
07.05.2020;Kujawsko-pomorskie;566
07.05.2020;Lubelskie;381
07.05.2020;Lubuskie;92
07.05.2020;Łódzkie;1157
07.05.2020;Małopolskie;1019
07.05.2020;Mazowieckie;2709
07.05.2020;Opolskie;459
07.05.2020;Podkarpackie;368
07.05.2020;Podlaskie;381
07.05.2020;Pomorskie;468
07.05.2020;Śląskie;3063
07.05.2020;Świętokrzyskie;303
07.05.2020;Warmińsko-mazurskie;156
07.05.2020;Wielkopolskie;1640
07.05.2020;Zachodniopomorskie;460
08.05.2020;Dolnośląskie;1870
08.05.2020;Kujawsko-pomorskie;571
08.05.2020;Lubelskie;384
08.05.2020;Lubuskie;92
08.05.2020;Łódzkie;1150
08.05.2020;Małopolskie;1033
08.05.2020;Mazowieckie;2731
08.05.2020;Opolskie;475
08.05.2020;Podkarpackie;370
08.05.2020;Podlaskie;383
08.05.2020;Pomorskie;477
08.05.2020;Śląskie;3242
08.05.2020;Świętokrzyskie;312
08.05.2020;Warmińsko-mazurskie;157
08.05.2020;Wielkopolskie;1655
08.05.2020;Zachodniopomorskie;464
09.05.2020;Dolnośląskie;1903
09.05.2020;Kujawsko-pomorskie;572
09.05.2020;Lubelskie;386
09.05.2020;Lubuskie;92
09.05.2020;Łódzkie;1166
09.05.2020;Małopolskie;1043
09.05.2020;Mazowieckie;2765
09.05.2020;Opolskie;478
09.05.2020;Podkarpackie;370
09.05.2020;Podlaskie;383
09.05.2020;Pomorskie;478
09.05.2020;Śląskie;3395
09.05.2020;Świętokrzyskie;321
09.05.2020;Warmińsko-mazurskie;160
09.05.2020;Wielkopolskie;1670
09.05.2020;Zachodniopomorskie;469
10.05.2020;Dolnośląskie;2002
10.05.2020;Kujawsko-pomorskie;574
10.05.2020;Lubelskie;388
10.05.2020;Lubuskie;92
10.05.2020;Łódzkie;1178
10.05.2020;Małopolskie;1047
10.05.2020;Mazowieckie;2791
10.05.2020;Opolskie;490
10.05.2020;Podkarpackie;371
10.05.2020;Podlaskie;384
10.05.2020;Pomorskie;481
10.05.2020;Śląskie;3566
10.05.2020;Świętokrzyskie;325
10.05.2020;Warmińsko-mazurskie;162
10.05.2020;Wielkopolskie;1672
10.05.2020;Zachodniopomorskie;473
11.05.2020;Dolnośląskie;2024
11.05.2020;Kujawsko-pomorskie;577
11.05.2020;Lubelskie;392
11.05.2020;Lubuskie;92
11.05.2020;Łódzkie;1188
11.05.2020;Małopolskie;1071
11.05.2020;Mazowieckie;2808
11.05.2020;Opolskie;495
11.05.2020;Podkarpackie;371
11.05.2020;Podlaskie;384
