Data;Wojewodztwo;Liczba ozdrowieńców
12.03.2020;Warmińsko-Mazurskie;0
12.03.2020;Wielkopolskie;0
12.03.2020;Zachodniopomorskie;0
13.03.2020;Dolnośląskie;0
13.03.2020;Kujawsko-Pomorskie;0
13.03.2020;Lubelskie;0
13.03.2020;Lubuskie;1
13.03.2020;Łódzkie;0
13.03.2020;Małopolskie;0
13.03.2020;Mazowieckie;0
13.03.2020;Opolskie;0
13.03.2020;Podkarpackie;0
13.03.2020;Podlaskie;0
13.03.2020;Pomorskie;0
13.03.2020;Śląskie;0
13.03.2020;Świętokrzyskie;0
13.03.2020;Warmińsko-Mazurskie;0
13.03.2020;Wielkopolskie;0
13.03.2020;Zachodniopomorskie;0
14.03.2020;Dolnośląskie;0
14.03.2020;Kujawsko-Pomorskie;0
14.03.2020;Lubelskie;0
14.03.2020;Lubuskie;0
14.03.2020;Łódzkie;0
14.03.2020;Małopolskie;0
14.03.2020;Mazowieckie;0
14.03.2020;Opolskie;0
14.03.2020;Podkarpackie;0
14.03.2020;Podlaskie;0
14.03.2020;Pomorskie;0
14.03.2020;Śląskie;0
14.03.2020;Świętokrzyskie;0
14.03.2020;Warmińsko-Mazurskie;0
14.03.2020;Wielkopolskie;0
14.03.2020;Zachodniopomorskie;0
15.03.2020;Dolnośląskie;0
15.03.2020;Kujawsko-Pomorskie;0
15.03.2020;Lubelskie;0
15.03.2020;Lubuskie;0
15.03.2020;Łódzkie;0
15.03.2020;Małopolskie;0
15.03.2020;Mazowieckie;0
15.03.2020;Opolskie;0
15.03.2020;Podkarpackie;0
15.03.2020;Podlaskie;0
15.03.2020;Pomorskie;0
15.03.2020;Śląskie;0
15.03.2020;Świętokrzyskie;0
15.03.2020;Warmińsko-Mazurskie;0
15.03.2020;Wielkopolskie;0
15.03.2020;Zachodniopomorskie;0
16.03.2020;Dolnośląskie;0
16.03.2020;Kujawsko-Pomorskie;0
16.03.2020;Lubelskie;0
16.03.2020;Lubuskie;0
16.03.2020;Łódzkie;0
16.03.2020;Małopolskie;0
16.03.2020;Mazowieckie;0
16.03.2020;Opolskie;0
16.03.2020;Podkarpackie;0
16.03.2020;Podlaskie;0
16.03.2020;Pomorskie;0
16.03.2020;Śląskie;0
16.03.2020;Świętokrzyskie;0
16.03.2020;Warmińsko-Mazurskie;0
16.03.2020;Wielkopolskie;0
16.03.2020;Zachodniopomorskie;0
17.03.2020;Dolnośląskie;0
17.03.2020;Kujawsko-Pomorskie;0
17.03.2020;Lubelskie;0
17.03.2020;Lubuskie;0
17.03.2020;Łódzkie;0
17.03.2020;Małopolskie;0
17.03.2020;Mazowieckie;0
17.03.2020;Opolskie;0
17.03.2020;Podkarpackie;0
17.03.2020;Podlaskie;0
17.03.2020;Pomorskie;0
17.03.2020;Śląskie;0
17.03.2020;Świętokrzyskie;0
17.03.2020;Warmińsko-Mazurskie;0
17.03.2020;Wielkopolskie;0
17.03.2020;Zachodniopomorskie;0
18.03.2020;Dolnośląskie;0
18.03.2020;Kujawsko-Pomorskie;0
18.03.2020;Lubelskie;0
18.03.2020;Lubuskie;0
18.03.2020;Łódzkie;0
18.03.2020;Małopolskie;0
18.03.2020;Mazowieckie;0
18.03.2020;Opolskie;0
18.03.2020;Podkarpackie;0
18.03.2020;Podlaskie;0
18.03.2020;Pomorskie;0
18.03.2020;Śląskie;0
18.03.2020;Świętokrzyskie;0
18.03.2020;Warmińsko-Mazurskie;0
18.03.2020;Wielkopolskie;0
18.03.2020;Zachodniopomorskie;0
19.03.2020;Dolnośląskie;1
19.03.2020;Kujawsko-Pomorskie;0
19.03.2020;Lubelskie;0
19.03.2020;Lubuskie;0
19.03.2020;Łódzkie;0
19.03.2020;Małopolskie;0
19.03.2020;Mazowieckie;0
19.03.2020;Opolskie;0
19.03.2020;Podkarpackie;0
19.03.2020;Podlaskie;0
19.03.2020;Pomorskie;0
19.03.2020;Śląskie;0
19.03.2020;Świętokrzyskie;0
19.03.2020;Warmińsko-Mazurskie;0
19.03.2020;Wielkopolskie;0
19.03.2020;Zachodniopomorskie;0
20.03.2020;Dolnośląskie;0
20.03.2020;Kujawsko-Pomorskie;0
20.03.2020;Lubelskie;0
20.03.2020;Lubuskie;0
20.03.2020;Łódzkie;0
20.03.2020;Małopolskie;0
20.03.2020;Mazowieckie;0
20.03.2020;Opolskie;2
20.03.2020;Podkarpackie;0
20.03.2020;Podlaskie;0
20.03.2020;Pomorskie;0
20.03.2020;Śląskie;0
20.03.2020;Świętokrzyskie;0
20.03.2020;Warmińsko-Mazurskie;0
20.03.2020;Wielkopolskie;0
20.03.2020;Zachodniopomorskie;0
21.03.2020;Dolnośląskie;0
21.03.2020;Kujawsko-Pomorskie;0
21.03.2020;Lubelskie;0
21.03.2020;Lubuskie;1
21.03.2020;Łódzkie;0
21.03.2020;Małopolskie;0
21.03.2020;Mazowieckie;0
21.03.2020;Opolskie;1
21.03.2020;Podkarpackie;0
21.03.2020;Podlaskie;0
21.03.2020;Pomorskie;0
21.03.2020;Śląskie;0
21.03.2020;Świętokrzyskie;0
21.03.2020;Warmińsko-Mazurskie;0
21.03.2020;Wielkopolskie;0
21.03.2020;Zachodniopomorskie;0
22.03.2020;Dolnośląskie;0
22.03.2020;Kujawsko-Pomorskie;0
22.03.2020;Lubelskie;4
22.03.2020;Lubuskie;1
22.03.2020;Łódzkie;0
22.03.2020;Małopolskie;0
22.03.2020;Mazowieckie;0
22.03.2020;Opolskie;1
22.03.2020;Podkarpackie;0
22.03.2020;Podlaskie;0
22.03.2020;Pomorskie;0
22.03.2020;Śląskie;0
22.03.2020;Świętokrzyskie;0
22.03.2020;Warmińsko-Mazurskie;0
22.03.2020;Wielkopolskie;0
22.03.2020;Zachodniopomorskie;0
23.03.2020;Dolnośląskie;0
23.03.2020;Kujawsko-Pomorskie;0
23.03.2020;Lubelskie;0
23.03.2020;Lubuskie;0
23.03.2020;Łódzkie;0
23.03.2020;Małopolskie;0
23.03.2020;Mazowieckie;0
23.03.2020;Opolskie;0
23.03.2020;Podkarpackie;0
23.03.2020;Podlaskie;0
23.03.2020;Pomorskie;0
23.03.2020;Śląskie;0
23.03.2020;Świętokrzyskie;0
23.03.2020;Warmińsko-Mazurskie;0
23.03.2020;Wielkopolskie;0
23.03.2020;Zachodniopomorskie;0
24.03.2020;Dolnośląskie;0
24.03.2020;Kujawsko-Pomorskie;0
24.03.2020;Lubelskie;0
24.03.2020;Lubuskie;0
24.03.2020;Łódzkie;0
24.03.2020;Małopolskie;0
24.03.2020;Mazowieckie;0
24.03.2020;Opolskie;0
24.03.2020;Podkarpackie;0
24.03.2020;Podlaskie;0
24.03.2020;Pomorskie;0
24.03.2020;Śląskie;1
24.03.2020;Świętokrzyskie;0
24.03.2020;Warmińsko-Mazurskie;0
24.03.2020;Wielkopolskie;0
24.03.2020;Zachodniopomorskie;0
25.03.2020;Dolnośląskie;0
25.03.2020;Kujawsko-Pomorskie;0
25.03.2020;Lubelskie;1
25.03.2020;Lubuskie;0
25.03.2020;Łódzkie;3
25.03.2020;Małopolskie;0
25.03.2020;Mazowieckie;0
25.03.2020;Opolskie;0
25.03.2020;Podkarpackie;0
25.03.2020;Podlaskie;1
25.03.2020;Pomorskie;0
25.03.2020;Śląskie;0
25.03.2020;Świętokrzyskie;0
25.03.2020;Warmińsko-Mazurskie;1
25.03.2020;Wielkopolskie;0
25.03.2020;Zachodniopomorskie;0
26.03.2020;Dolnośląskie;1
26.03.2020;Kujawsko-Pomorskie;0
26.03.2020;Lubelskie;1
26.03.2020;Lubuskie;0
26.03.2020;Łódzkie;5
26.03.2020;Małopolskie;0
26.03.2020;Mazowieckie;0
26.03.2020;Opolskie;0
26.03.2020;Podkarpackie;0
26.03.2020;Podlaskie;0
26.03.2020;Pomorskie;0
26.03.2020;Śląskie;2
26.03.2020;Świętokrzyskie;0
26.03.2020;Warmińsko-Mazurskie;0
26.03.2020;Wielkopolskie;0
26.03.2020;Zachodniopomorskie;0
27.03.2020;Dolnośląskie;0
27.03.2020;Kujawsko-Pomorskie;1
27.03.2020;Lubelskie;0
27.03.2020;Lubuskie;0
27.03.2020;Łódzkie;4
27.03.2020;Małopolskie;0
27.03.2020;Mazowieckie;0
27.03.2020;Opolskie;3
27.03.2020;Podkarpackie;2
27.03.2020;Podlaskie;0
27.03.2020;Pomorskie;0
27.03.2020;Śląskie;3
27.03.2020;Świętokrzyskie;0
27.03.2020;Warmińsko-Mazurskie;0
27.03.2020;Wielkopolskie;0
27.03.2020;Zachodniopomorskie;0
28.03.2020;Dolnośląskie;0
28.03.2020;Kujawsko-Pomorskie;1
28.03.2020;Lubelskie;2
28.03.2020;Lubuskie;0
28.03.2020;Łódzkie;0
28.03.2020;Małopolskie;0
28.03.2020;Mazowieckie;0
28.03.2020;Opolskie;0
28.03.2020;Podkarpackie;2
28.03.2020;Podlaskie;0
28.03.2020;Pomorskie;0
28.03.2020;Śląskie;0
28.03.2020;Świętokrzyskie;0
28.03.2020;Warmińsko-Mazurskie;0
28.03.2020;Wielkopolskie;0
28.03.2020;Zachodniopomorskie;0
29.03.2020;Dolnośląskie;0
29.03.2020;Kujawsko-Pomorskie;1
29.03.2020;Lubelskie;5
29.03.2020;Lubuskie;0
29.03.2020;Łódzkie;0
29.03.2020;Małopolskie;0
29.03.2020;Mazowieckie;0
29.03.2020;Opolskie;0
29.03.2020;Podkarpackie;0
29.03.2020;Podlaskie;0
29.03.2020;Pomorskie;0
29.03.2020;Śląskie;0
29.03.2020;Świętokrzyskie;0
29.03.2020;Warmińsko-Mazurskie;0
29.03.2020;Wielkopolskie;0
29.03.2020;Zachodniopomorskie;0
30.03.2020;Dolnośląskie;0
30.03.2020;Kujawsko-Pomorskie;6
30.03.2020;Lubelskie;1
30.03.2020;Lubuskie;1
30.03.2020;Łódzkie;4
30.03.2020;Małopolskie;0
30.03.2020;Mazowieckie;5
30.03.2020;Opolskie;0
30.03.2020;Podkarpackie;0
30.03.2020;Podlaskie;0
30.03.2020;Pomorskie;0
30.03.2020;Śląskie;0
30.03.2020;Świętokrzyskie;0
30.03.2020;Warmińsko-Mazurskie;0
30.03.2020;Wielkopolskie;0
30.03.2020;Zachodniopomorskie;0
31.03.2020;Dolnośląskie;0
31.03.2020;Kujawsko-Pomorskie;1
31.03.2020;Lubelskie;0
31.03.2020;Lubuskie;0
31.03.2020;Łódzkie;0
31.03.2020;Małopolskie;0
31.03.2020;Mazowieckie;7
31.03.2020;Opolskie;0
31.03.2020;Podkarpackie;1
31.03.2020;Podlaskie;0
31.03.2020;Pomorskie;0
31.03.2020;Śląskie;2
31.03.2020;Świętokrzyskie;0
31.03.2020;Warmińsko-Mazurskie;0
31.03.2020;Wielkopolskie;0
31.03.2020;Zachodniopomorskie;0
01.04.2020;Dolnośląskie;0
01.04.2020;Kujawsko-Pomorskie;0
01.04.2020;Lubelskie;8
01.04.2020;Lubuskie;1
01.04.2020;Łódzkie;3
01.04.2020;Małopolskie;0
01.04.2020;Mazowieckie;1
01.04.2020;Opolskie;0
01.04.2020;Podkarpackie;1
01.04.2020;Podlaskie;1
01.04.2020;Pomorskie;0
01.04.2020;Śląskie;0
01.04.2020;Świętokrzyskie;0
01.04.2020;Warmińsko-Mazurskie;1
01.04.2020;Wielkopolskie;3
01.04.2020;Zachodniopomorskie;0
02.04.2020;Dolnośląskie;0
02.04.2020;Kujawsko-Pomorskie;1
02.04.2020;Lubelskie;0
02.04.2020;Lubuskie;0
02.04.2020;Łódzkie;7
02.04.2020;Małopolskie;0
02.04.2020;Mazowieckie;0
02.04.2020;Opolskie;1
02.04.2020;Podkarpackie;0
02.04.2020;Podlaskie;0
02.04.2020;Pomorskie;0
02.04.2020;Śląskie;2
02.04.2020;Świętokrzyskie;0
02.04.2020;Warmińsko-Mazurskie;0
02.04.2020;Wielkopolskie;0
02.04.2020;Zachodniopomorskie;0
03.04.2020;Dolnośląskie;2
03.04.2020;Kujawsko-Pomorskie;2
03.04.2020;Lubelskie;0
03.04.2020;Lubuskie;1
03.04.2020;Łódzkie;11
03.04.2020;Małopolskie;0
03.04.2020;Mazowieckie;1
03.04.2020;Opolskie;0
03.04.2020;Podkarpackie;1
03.04.2020;Podlaskie;0
03.04.2020;Pomorskie;0
03.04.2020;Śląskie;1
03.04.2020;Świętokrzyskie;0
03.04.2020;Warmińsko-Mazurskie;1
03.04.2020;Wielkopolskie;0
03.04.2020;Zachodniopomorskie;0
04.04.2020;Dolnośląskie;0
04.04.2020;Kujawsko-Pomorskie;0
04.04.2020;Lubelskie;1
04.04.2020;Lubuskie;0
04.04.2020;Łódzkie;7
04.04.2020;Małopolskie;2
04.04.2020;Mazowieckie;0
04.04.2020;Opolskie;1
04.04.2020;Podkarpackie;2
04.04.2020;Podlaskie;1
04.04.2020;Pomorskie;0
04.04.2020;Śląskie;4
04.04.2020;Świętokrzyskie;1
04.04.2020;Warmińsko-Mazurskie;0
04.04.2020;Wielkopolskie;1
04.04.2020;Zachodniopomorskie;1
05.04.2020;Dolnośląskie;0
05.04.2020;Kujawsko-Pomorskie;0
05.04.2020;Lubelskie;3
05.04.2020;Lubuskie;2
05.04.2020;Łódzkie;19
05.04.2020;Małopolskie;1
05.04.2020;Mazowieckie;2
05.04.2020;Opolskie;1
05.04.2020;Podkarpackie;0
05.04.2020;Podlaskie;2
05.04.2020;Pomorskie;0
05.04.2020;Śląskie;0
05.04.2020;Świętokrzyskie;0
05.04.2020;Warmińsko-Mazurskie;0
05.04.2020;Wielkopolskie;0
05.04.2020;Zachodniopomorskie;0
06.04.2020;Dolnośląskie;0
06.04.2020;Kujawsko-Pomorskie;0
06.04.2020;Lubelskie;11
06.04.2020;Lubuskie;5
06.04.2020;Łódzkie;3
06.04.2020;Małopolskie;0
06.04.2020;Mazowieckie;4
06.04.2020;Opolskie;0
06.04.2020;Podkarpackie;1
06.04.2020;Podlaskie;0
06.04.2020;Pomorskie;0
06.04.2020;Śląskie;0
06.04.2020;Świętokrzyskie;0
06.04.2020;Warmińsko-Mazurskie;0
06.04.2020;Wielkopolskie;1
06.04.2020;Zachodniopomorskie;3
07.04.2020;Dolnośląskie;1
07.04.2020;Kujawsko-Pomorskie;0
07.04.2020;Lubelskie;7
07.04.2020;Lubuskie;2
07.04.2020;Łódzkie;8
07.04.2020;Małopolskie;2
07.04.2020;Mazowieckie;5
07.04.2020;Opolskie;1
07.04.2020;Podlaskie;0
07.04.2020;Pomorskie;2
07.04.2020;Śląskie;0
07.04.2020;Świętokrzyskie;2
07.04.2020;Warmińsko-Mazurskie;8
07.04.2020;Wielkopolskie;1
07.04.2020;Zachodniopomorskie;5
08.04.2020;Dolnośląskie;1
08.04.2020;Kujawsko-Pomorskie;0
08.04.2020;Lubelskie;4
08.04.2020;Lubuskie;3
08.04.2020;Łódzkie;22
08.04.2020;Małopolskie;1
08.04.2020;Mazowieckie;8
08.04.2020;Opolskie;1
08.04.2020;Podkarpackie;0
08.04.2020;Podlaskie;0
08.04.2020;Pomorskie;2
08.04.2020;Śląskie;9
08.04.2020;Świętokrzyskie;0
08.04.2020;Warmińsko-Mazurskie;2
08.04.2020;Wielkopolskie;1
08.04.2020;Zachodniopomorskie;0
09.04.2020;Dolnośląskie;3
09.04.2020;Kujawsko-Pomorskie;1
09.04.2020;Lubelskie;4
09.04.2020;Lubuskie;4
09.04.2020;Łódzkie;2
09.04.2020;Małopolskie;0
09.04.2020;Mazowieckie;7
09.04.2020;Opolskie;3
09.04.2020;Podkarpackie;0
09.04.2020;Podlaskie;1
09.04.2020;Pomorskie;0
09.04.2020;Śląskie;3
09.04.2020;Świętokrzyskie;0
09.04.2020;Warmińsko-Mazurskie;7
09.04.2020;Wielkopolskie;1
09.04.2020;Zachodniopomorskie;1
10.04.2020;Dolnośląskie;3
10.04.2020;Kujawsko-Pomorskie;4
10.04.2020;Lubelskie;8
10.04.2020;Lubuskie;1
10.04.2020;Łódzkie;5
10.04.2020;Małopolskie;2
10.04.2020;Mazowieckie;11
10.04.2020;Opolskie;0
10.04.2020;Podkarpackie;3
10.04.2020;Podlaskie;2
10.04.2020;Pomorskie;1
10.04.2020;Śląskie;10
10.04.2020;Świętokrzyskie;1
10.04.2020;Warmińsko-Mazurskie;1
10.04.2020;Wielkopolskie;2
10.04.2020;Zachodniopomorskie;1
11.04.2020;Dolnośląskie;7
11.04.2020;Kujawsko-Pomorskie;2
11.04.2020;Lubelskie;10
11.04.2020;Lubuskie;1
11.04.2020;Łódzkie;16
11.04.2020;Małopolskie;1
11.04.2020;Mazowieckie;6
11.04.2020;Opolskie;0
11.04.2020;Podkarpackie;5
11.04.2020;Podlaskie;2
11.04.2020;Pomorskie;2
11.04.2020;Śląskie;0
11.04.2020;Świętokrzyskie;0
11.04.2020;Warmińsko-Mazurskie;3
11.04.2020;Wielkopolskie;5
11.04.2020;Zachodniopomorskie;7
12.04.2020;Dolnośląskie;3
12.04.2020;Kujawsko-Pomorskie;2
12.04.2020;Lubelskie;5
12.04.2020;Lubuskie;0
12.04.2020;Łódzkie;9
12.04.2020;Małopolskie;3
12.04.2020;Mazowieckie;15
12.04.2020;Opolskie;1
12.04.2020;Podkarpackie;12
12.04.2020;Podlaskie;0
12.04.2020;Pomorskie;2
12.04.2020;Śląskie;1
12.04.2020;Świętokrzyskie;0
12.04.2020;Warmińsko-Mazurskie;0
12.04.2020;Wielkopolskie;3
12.04.2020;Zachodniopomorskie;1
13.04.2020;Dolnośląskie;5
13.04.2020;Kujawsko-Pomorskie;1
13.04.2020;Lubelskie;2
13.04.2020;Lubuskie;2
13.04.2020;Łódzkie;6
13.04.2020;Małopolskie;0
13.04.2020;Mazowieckie;84
13.04.2020;Opolskie;4
13.04.2020;Podkarpackie;1
13.04.2020;Podlaskie;5
13.04.2020;Pomorskie;1
13.04.2020;Śląskie;4
13.04.2020;Świętokrzyskie;0
13.04.2020;Warmińsko-Mazurskie;0
13.04.2020;Wielkopolskie;3
13.04.2020;Zachodniopomorskie;3
14.04.2020;Dolnośląskie;7
14.04.2020;Kujawsko-Pomorskie;1
14.04.2020;Lubelskie;4
14.04.2020;Lubuskie;0
14.04.2020;Łódzkie;5
14.04.2020;Małopolskie;0
14.04.2020;Mazowieckie;9
14.04.2020;Opolskie;0
14.04.2020;Podkarpackie;9
14.04.2020;Podlaskie;0
14.04.2020;Pomorskie;3
14.04.2020;Śląskie;1
14.04.2020;Świętokrzyskie;2
14.04.2020;Warmińsko-Mazurskie;0
14.04.2020;Wielkopolskie;6
14.04.2020;Zachodniopomorskie;1
15.04.2020;Dolnośląskie;9
15.04.2020;Kujawsko-Pomorskie;2
15.04.2020;Lubelskie;5
15.04.2020;Lubuskie;5
15.04.2020;Łódzkie;7
15.04.2020;Małopolskie;10
15.04.2020;Mazowieckie;17
15.04.2020;Opolskie;0
15.04.2020;Podkarpackie;9
15.04.2020;Podlaskie;11
15.04.2020;Pomorskie;5
15.04.2020;Śląskie;3
15.04.2020;Świętokrzyskie;7
15.04.2020;Warmińsko-Mazurskie;2
15.04.2020;Wielkopolskie;9
15.04.2020;Zachodniopomorskie;1
16.04.2020;Dolnośląskie;46
16.04.2020;Kujawsko-Pomorskie;13
16.04.2020;Lubelskie;7
16.04.2020;Lubuskie;0
16.04.2020;Łódzkie;6
16.04.2020;Małopolskie;7
16.04.2020;Mazowieckie;23
16.04.2020;Opolskie;0
16.04.2020;Podkarpackie;0
16.04.2020;Podlaskie;6
16.04.2020;Pomorskie;4
16.04.2020;Śląskie;2
16.04.2020;Świętokrzyskie;3
16.04.2020;Warmińsko-Mazurskie;7
16.04.2020;Wielkopolskie;8
16.04.2020;Zachodniopomorskie;2
17.04.2020;Dolnośląskie;3
17.04.2020;Kujawsko-Pomorskie;8
17.04.2020;Lubelskie;5
17.04.2020;Lubuskie;2
17.04.2020;Łódzkie;12
17.04.2020;Małopolskie;19
17.04.2020;Mazowieckie;19
17.04.2020;Opolskie;0
17.04.2020;Podkarpackie;14
17.04.2020;Podlaskie;3
17.04.2020;Pomorskie;3
17.04.2020;Śląskie;6
17.04.2020;Świętokrzyskie;0
17.04.2020;Warmińsko-Mazurskie;1
17.04.2020;Wielkopolskie;14
17.04.2020;Zachodniopomorskie;5
18.04.2020;Dolnośląskie;19
18.04.2020;Kujawsko-Pomorskie;5
18.04.2020;Lubelskie;1
18.04.2020;Lubuskie;1
18.04.2020;Łódzkie;21
18.04.2020;Małopolskie;2
18.04.2020;Mazowieckie;18
18.04.2020;Opolskie;4
18.04.2020;Podkarpackie;3
18.04.2020;Podlaskie;2
18.04.2020;Pomorskie;1
18.04.2020;Śląskie;0
18.04.2020;Świętokrzyskie;2
18.04.2020;Warmińsko-Mazurskie;9
18.04.2020;Wielkopolskie;7
18.04.2020;Zachodniopomorskie;6
19.04.2020;Dolnośląskie;1
19.04.2020;Kujawsko-Pomorskie;7
19.04.2020;Lubelskie;5
19.04.2020;Lubuskie;2
19.04.2020;Łódzkie;7
19.04.2020;Małopolskie;18
19.04.2020;Mazowieckie;31
19.04.2020;Opolskie;0
19.04.2020;Podkarpackie;15
19.04.2020;Podlaskie;13
19.04.2020;Pomorskie;5
19.04.2020;Śląskie;9
19.04.2020;Świętokrzyskie;3
19.04.2020;Warmińsko-Mazurskie;11
19.04.2020;Wielkopolskie;2
19.04.2020;Zachodniopomorskie;5
20.04.2020;Dolnośląskie;6
20.04.2020;Kujawsko-Pomorskie;14
20.04.2020;Lubelskie;10
20.04.2020;Lubuskie;1
20.04.2020;Łódzkie;8
20.04.2020;Małopolskie;1
20.04.2020;Mazowieckie;41
20.04.2020;Opolskie;2
20.04.2020;Podkarpackie;9
20.04.2020;Podlaskie;6
20.04.2020;Pomorskie;13
20.04.2020;Śląskie;5
20.04.2020;Świętokrzyskie;1
20.04.2020;Warmińsko-Mazurskie;0
20.04.2020;Wielkopolskie;14
20.04.2020;Zachodniopomorskie;5
21.04.2020;Dolnośląskie;10
21.04.2020;Kujawsko-Pomorskie;11
21.04.2020;Lubelskie;6
21.04.2020;Lubuskie;5
21.04.2020;Łódzkie;10
21.04.2020;Małopolskie;9
21.04.2020;Mazowieckie;43
21.04.2020;Opolskie;1
21.04.2020;Podkarpackie;14
21.04.2020;Podlaskie;13
21.04.2020;Pomorskie;2
21.04.2020;Śląskie;16
21.04.2020;Świętokrzyskie;8
21.04.2020;Warmińsko-Mazurskie;2
21.04.2020;Wielkopolskie;14
21.04.2020;Zachodniopomorskie;11
22.04.2020;Dolnośląskie;26
22.04.2020;Kujawsko-Pomorskie;26
22.04.2020;Lubelskie;4
22.04.2020;Lubuskie;2
22.04.2020;Łódzkie;15
22.04.2020;Małopolskie;9
22.04.2020;Mazowieckie;42
22.04.2020;Opolskie;5
22.04.2020;Podkarpackie;24
22.04.2020;Podlaskie;25
22.04.2020;Pomorskie;15
22.04.2020;Śląskie;12
22.04.2020;Świętokrzyskie;2
22.04.2020;Warmińsko-Mazurskie;0
22.04.2020;Wielkopolskie;9
22.04.2020;Zachodniopomorskie;6
23.04.2020;Dolnośląskie;26
23.04.2020;Kujawsko-Pomorskie;6
23.04.2020;Lubelskie;7
23.04.2020;Lubuskie;1
23.04.2020;Łódzkie;20
23.04.2020;Małopolskie;26
23.04.2020;Mazowieckie;44
23.04.2020;Opolskie;0
23.04.2020;Podkarpackie;22
23.04.2020;Podlaskie;13
23.04.2020;Pomorskie;8
23.04.2020;Śląskie;31
23.04.2020;Świętokrzyskie;7
